brand,model_year,mileage_km,engine_power_hp,engine_capacity_cc,fuel_type,transmission,damage_score,price_usd
Ford,2022,52100.0,298.0,3.3,Diesel,Automatic,0,37105.15
Audi,2021,52271.0,186.0,2.4,Gasoline,Manual,0,33137.12
BMW,2016,100403.0,163.0,2.5,Electric,Manual,0,27580.56
Volkswagen,2022,28702.0,204.0,2.3,Hybrid,Automatic,0,38102.75
Toyota,2020,40701.0,280.0,3.0,Diesel,Automatic,0,36720.23
Toyota,2010,105339.0,259.0,2.8,Gasoline,Automatic,0,26072.04
Toyota,2015,166060.0,396.0,4.0,Gasoline,Automatic,1,35672.07
Mercedes-Benz,2024,12412.0,293.0,3.4,Diesel,Automatic,2,48682.66
Volkswagen,2024,17848.0,145.0,2.1,Gasoline,Automatic,0,29915.59
BMW,2012,169903.0,297.0,3.1,Gasoline,Automatic,3,21461.71
Toyota,2020,78316.0,130.0,1.6,Diesel,Manual,2,11780.75
Hyundai,2019,75051.0,121.0,1.9,Diesel,Automatic,2,7998.46
Mercedes-Benz,2016,84264.0,104.0,1.6,Gasoline,Automatic,0,21704.55
Honda,2019,102909.0,151.0,2.2,Gasoline,Automatic,0,16872.69
Honda,2011,203792.0,244.0,2.7,Gasoline,Automatic,0,19214.61
Honda,2023,35387.0,373.0,3.6,Diesel,Automatic,1,43877.75
Honda,2011,232954.0,298.0,2.8,Gasoline,Automatic,0,26982.58
Volkswagen,2022,30409.0,409.0,3.6,Gasoline,Manual,0,55213.07
Ford,2013,213910.0,276.0,3.3,Diesel,Manual,0,21822.22
Honda,2010,206154.0,219.0,2.6,Electric,Automatic,0,22708.05
Volkswagen,2012,214802.0,216.0,2.6,Diesel,Automatic,1,15784.41
Toyota,2022,52801.0,381.0,3.5,Gasoline,Manual,0,46531.4
Honda,2018,77772.0,203.0,2.6,Gasoline,Automatic,1,19555.26
Ford,2016,144527.0,288.0,3.2,Hybrid,Manual,1,25704.74
Ford,2024,18705.0,102.0,1.6,Gasoline,Automatic,0,18293.48
Mercedes-Benz,2016,130753.0,360.0,3.4,Diesel,Automatic,0,46716.62
Honda,2022,36262.0,178.0,2.1,Gasoline,Automatic,1,21337.21
Volkswagen,2022,48272.0,304.0,3.2,Gasoline,Manual,0,42192.68
Volkswagen,2020,81922.0,367.0,3.7,Hybrid,Automatic,0,52511.88
Toyota,2013,191940.0,292.0,3.1,Diesel,Automatic,0,27857.3
Volkswagen,2011,195830.0,163.0,2.4,Diesel,Automatic,0,11565.24
Toyota,2024,11236.0,114.0,1.7,Gasoline,Automatic,0,23949.59
Toyota,2023,28771.0,190.0,2.1,Gasoline,Automatic,0,29576.46
Audi,2013,198726.0,265.0,2.9,Diesel,Automatic,0,26370.3
Hyundai,2015,214338.0,206.0,2.1,Diesel,Manual,0,15241.95
Mercedes-Benz,2020,94643.0,255.0,3.0,Gasoline,Automatic,2,32948.68
Honda,2020,40118.0,130.0,1.9,Gasoline,Automatic,0,18637.18
Toyota,2012,184107.0,209.0,2.4,Gasoline,Automatic,2,11248.97
BMW,2010,302751.0,186.0,2.2,Electric,Manual,0,14305.22
Ford,2023,35588.0,234.0,2.9,Diesel,Manual,1,25306.67
Toyota,2021,57065.0,305.0,3.4,Hybrid,Manual,0,41480.89
Volkswagen,2017,137833.0,318.0,3.2,Gasoline,Automatic,1,32477.11
Toyota,2021,53094.0,402.0,4.0,Electric,Automatic,0,62950.81
Audi,2022,42964.0,219.0,2.7,Gasoline,Automatic,1,36474.69
Honda,2014,146200.0,407.0,4.0,Diesel,Automatic,0,41302.44
BMW,2024,15510.0,226.0,2.6,Hybrid,Manual,0,54124.06
Honda,2014,185409.0,413.0,4.0,Gasoline,Automatic,0,41424.73
Volkswagen,2020,51264.0,362.0,3.4,Gasoline,Automatic,2,36555.41
Volkswagen,2013,228169.0,206.0,2.5,Gasoline,Automatic,1,13106.14
Honda,2015,122214.0,395.0,3.8,Gasoline,Automatic,0,40421.2
Hyundai,2012,184800.0,183.0,2.2,Diesel,Automatic,1,10501.26
Mercedes-Benz,2018,66890.0,257.0,2.5,Diesel,Automatic,1,38295.08
Audi,2014,175707.0,292.0,2.9,Diesel,Manual,2,21757.75
Audi,2012,251275.0,238.0,2.6,Diesel,Automatic,2,17589.65
Volkswagen,2020,67668.0,272.0,3.1,Diesel,Automatic,1,32081.71
Audi,2010,154862.0,241.0,2.8,Gasoline,Automatic,0,26383.68
Toyota,2019,95195.0,163.0,2.4,Gasoline,Manual,1,14943.94
Honda,2021,86468.0,363.0,3.8,Electric,Manual,0,47253.97
Toyota,2015,94089.0,131.0,2.0,Gasoline,Automatic,3,8689.39
Honda,2024,11781.0,301.0,3.2,Diesel,Automatic,0,45491.56
Ford,2011,181914.0,190.0,2.2,Gasoline,Automatic,0,14256.7
Honda,2022,42160.0,134.0,2.4,Diesel,Manual,0,18180.47
Mercedes-Benz,2012,153662.0,171.0,1.9,Diesel,Manual,1,17068.87
Ford,2010,97598.0,106.0,1.8,Gasoline,Automatic,2,3500.0
Honda,2018,105662.0,162.0,2.3,Gasoline,Automatic,0,17815.63
Volkswagen,2017,118718.0,103.0,1.9,Diesel,Automatic,1,8902.37
Toyota,2021,35734.0,246.0,2.5,Gasoline,Automatic,1,30463.2
Mercedes-Benz,2011,268198.0,312.0,3.1,Gasoline,Automatic,1,25593.29
Toyota,2024,18851.0,221.0,2.4,Diesel,Manual,0,34154.93
Hyundai,2021,48290.0,136.0,1.6,Gasoline,Manual,2,11542.78
Mercedes-Benz,2020,83061.0,196.0,2.4,Hybrid,Automatic,0,41567.52
